source_artifact,model,seed,fold,best_epoch,best_val_ap,early_stopped,threshold,hidden_dim,dropout_1,dropout_2,lr,weight_decay,feature_names,train_auc,train_ap,train_accuracy,train_f1,train_precision,train_recall,train_brier,train_positives,train_n,validation_auc,validation_ap,validation_accuracy,validation_f1,validation_precision,validation_recall,validation_brier,validation_positives,validation_n,test_auc,test_ap,test_accuracy,test_f1,test_precision,test_recall,test_brier,test_positives,test_n,model_family,feature_set,patience,max_epochs
results/model/full_pytorch_graphsage_full_metrics.csv,full_pytorch_graphsage,11,0,3.0,0.8536316382165519,True,0.4899999999999999,16.0,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7075757575757575,0.8550436483325872,0.7168141592920354,0.8260869565217392,0.7307692307692307,0.95,0.2429851573823379,80,113,0.6608870967741935,0.8536316382165519,0.7387387387387387,0.8432432432432432,0.7428571428571429,0.975,0.2433990720789129,80,111,0.638095238095238,0.7818516978036572,0.7241379310344828,0.8297872340425532,0.7289719626168224,0.9629629629629628,0.2433856076823671,81,116,,,,
results/model/full_pytorch_graphsage_full_metrics.csv,full_pytorch_graphsage,11,1,180.0,0.8125298396604258,True,0.05,16.0,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.9911816578483243,0.9965195709365964,0.853448275862069,0.905027932960894,0.826530612244898,1.0,0.0401744460053072,81,116,0.6454545454545455,0.8125298396604258,0.6902654867256637,0.8066298342541437,0.7227722772277227,0.9125,0.2893221117969455,80,113,0.4834677419354838,0.7540053465309312,0.6936936936936937,0.8131868131868133,0.7254901960784313,0.925,0.3820215377704457,80,111,,,,
results/model/full_pytorch_graphsage_full_metrics.csv,full_pytorch_graphsage,11,2,7.0,0.821123816045214,True,0.4999999999999999,16.0,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.6326612903225807,0.8320811322176921,0.7117117117117117,0.8160919540229885,0.7553191489361702,0.8875,0.236465805357939,80,111,0.6680776014109348,0.821123816045214,0.7327586206896551,0.8306010928961749,0.7450980392156863,0.9382716049382716,0.2365937642002653,81,116,0.625,0.7630724613567059,0.7522123893805309,0.840909090909091,0.7708333333333334,0.925,0.2385582251417694,80,113,,,,
results/model/full_pytorch_graphsage_full_metrics.csv,full_pytorch_graphsage,23,0,20.0,0.7832690684592511,True,0.05,16.0,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7223484848484848,0.8765087638118008,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2249111227181956,80,113,0.5737903225806451,0.7832690684592511,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2532891246191531,80,111,0.5788359788359788,0.7619922338985805,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2528153035862621,81,116,,,,
results/model/full_pytorch_graphsage_full_metrics.csv,full_pytorch_graphsage,23,1,12.0,0.774600286173405,True,0.3299999999999999,16.0,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7710758377425044,0.904577792135973,0.7068965517241379,0.826530612244898,0.7043478260869566,1.0,0.2025406545092092,81,116,0.5617424242424243,0.774600286173405,0.7168141592920354,0.8333333333333333,0.7142857142857143,1.0,0.2382015241042331,80,113,0.5713709677419355,0.7901967520404329,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.237440291101966,80,111,,,,
results/model/full_pytorch_graphsage_full_metrics.csv,full_pytorch_graphsage,23,2,53.0,0.786384384013652,True,0.05,16.0,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.9435483870967742,0.979918187413046,0.7477477477477478,0.8494623655913979,0.7452830188679245,0.9875,0.1015807840498285,80,111,0.6409171075837743,0.786384384013652,0.7155172413793104,0.8307692307692308,0.7105263157894737,1.0,0.2355674805449584,81,116,0.5238636363636363,0.7225935255215453,0.6902654867256637,0.8108108108108109,0.7142857142857143,0.9375,0.3154643682797253,80,113,,,,
results/model/full_pytorch_graphsage_full_metrics.csv,full_pytorch_graphsage,42,0,29.0,0.8134367801489854,True,0.05,16.0,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7795454545454545,0.8953418308064041,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.1940846558400039,80,113,0.6431451612903226,0.8134367801489854,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2121431312438348,80,111,0.5961199294532628,0.764114352509798,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.224798326784244,81,116,,,,
results/model/full_pytorch_graphsage_full_metrics.csv,full_pytorch_graphsage,42,1,1.0,0.807278004352027,True,0.4899999999999999,16.0,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.5749559082892416,0.7736335191937432,0.7068965517241379,0.826530612244898,0.7043478260869566,1.0,0.2487340076345973,81,116,0.6325757575757576,0.807278004352027,0.7168141592920354,0.8333333333333333,0.7142857142857143,1.0,0.2486534969804392,80,113,0.5701612903225807,0.7720270373338323,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2485958024650718,80,111,,,,
results/model/full_pytorch_graphsage_full_metrics.csv,full_pytorch_graphsage,42,2,30.0,0.7957215909233815,True,0.05,16.0,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.802016129032258,0.9190651527180048,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.1894069871181899,80,111,0.5746031746031746,0.7957215909233815,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2398808267411921,81,116,0.5738636363636364,0.7851274842053623,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2348431754391829,80,113,,,,
results/model/full_pytorch_graphsage_full_metrics.csv,full_pytorch_graphsage,77,0,18.0,0.8581332617618189,True,0.3599999999999999,16.0,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7196969696969697,0.8710714248116684,0.7345132743362832,0.8255813953488372,0.7717391304347826,0.8875,0.2247591414828751,80,113,0.6713709677419355,0.8581332617618189,0.7567567567567568,0.8508287292817679,0.7623762376237624,0.9625,0.2309231840692363,80,111,0.5813051146384479,0.7690810572509514,0.7241379310344828,0.8279569892473119,0.7333333333333333,0.9506172839506172,0.243472133138384,81,116,,,,
