profile,param_id,beta,gamma,run_id,seed,budget_k_pct,budget_k_nodes,strategy,selected_node_ids,final_mean_infected_per_hh,baseline_mean_infected_per_hh,reduction_vs_baseline_pct,transmissions_blocked,transmission_block_rate_pct,infections_prevented,prevention_rate_pct,precision_k_pct,transmission_coverage,selected_index_cases,selected_contacts,sars_pos_contacts_in_selected,recall_k_pct,dynamic_duration_coverage_pct,dynamic_contact_event_coverage_pct,lcc_reduction_pct
smoke,beta0.25_gamma0.10,0.25,0.1,1,1011546,15,51,gnn,S081-001|J075-001|J055-001|S008-001|S047-001|J053-001|S018-003|S018-001|J067-001|J059-001|S071-005|S012-001|J050-003|S079-001|S079-004|J050-001|J009-001|S071-001|S052-001|S011-001|S060-003|J059-003|J064-001|J063-002|S005-001|J076-001|S031-001|S060-001|J059-002|S079-003|J053-002|J044-005|S012-003|S016-001|S073-003|S051-004|S011-002|S050-002|J041-002|S011-003|S044-003|J067-002|J008-001|J037-001|J064-003|J075-003|S071-008|J054-004|S044-001|S070-003|S011-005,2.5,3.2727,23.6111,82.0,28.6713,61.0,39.8693,88.2353,28.6713,25.0,26.0,20.0,18.6722,29.609,26.0662,0.0
smoke,beta0.25_gamma0.10,0.25,0.1,2,1021546,15,51,gnn,S081-001|J075-001|J055-001|S008-001|S047-001|J053-001|S018-003|S018-001|J067-001|J059-001|S071-005|S012-001|J050-003|S079-001|S079-004|J050-001|J009-001|S071-001|S052-001|S011-001|S060-003|J059-003|J064-001|J063-002|S005-001|J076-001|S031-001|S060-001|J059-002|S079-003|J053-002|J044-005|S012-003|S016-001|S073-003|S051-004|S011-002|S050-002|J041-002|S011-003|S044-003|J067-002|J008-001|J037-001|J064-003|J075-003|S071-008|J054-004|S044-001|S070-003|S011-005,2.3523,3.4659,32.1311,82.0,28.6713,61.0,39.8693,88.2353,28.6713,25.0,26.0,20.0,18.6722,29.609,26.0662,0.0
smoke,beta0.25_gamma0.10,0.25,0.1,0,1001643,16,54,random,J068-002|S057-004|J039-002|S018-005|S005-002|J073-003|J063-001|S050-004|S060-003|J010-001|J068-001|S031-005|S078-001|J020-003|S033-004|S063-004|S020-001|S039-002|S018-004|S026-009|S036-001|J047-003|S023-002|J010-003|J064-001|J044-006|S051-001|S050-005|J044-002|J008-002|J022-001|J067-002|S008-003|S007-004|S028-003|J057-003|S007-005|S074-004|S053-001|J073-002|J053-001|S028-005|S049-005|J041-003|J076-002|J043-003|S064-001|J037-002|S045-005|J067-001|S071-005|J024-004|S064-004|J064-003,2.5455,3.375,24.5791,82.0,28.6713,72.0,47.0588,72.2222,28.6713,13.0,41.0,26.0,16.1826,30.7001,30.3738,25.0
smoke,beta0.25_gamma0.10,0.25,0.1,1,1011643,16,54,random,S007-003|S015-002|S045-005|J008-007|S079-001|S079-004|J021-003|J067-001|J023-006|J043-005|S053-003|S073-004|J075-001|S026-009|J057-004|J075-003|S050-004|S072-001|S046-002|S071-001|S036-004|J067-005|S007-002|J059-003|S075-001|J027-002|S056-003|S062-003|S021-003|J024-002|J008-004|J063-003|S040-003|S030-002|J054-004|S039-004|J047-002|J077-005|S036-003|J050-004|S060-001|S056-004|S074-001|J037-001|S033-003|S007-001|S004-003|S075-003|S080-001|S048-005|J063-004|S023-003|S049-005|J077-002,2.4432,3.2727,25.3472,102.0,35.6643,89.0,58.1699,74.0741,35.6643,11.0,43.0,29.0,16.5975,33.11,33.1744,12.5
smoke,beta0.25_gamma0.10,0.25,0.1,2,1021643,16,54,random,S009-001|S050-002|S062-003|S053-001|J064-003|S016-003|J021-002|S073-002|J027-005|S012-001|S016-001|S018-005|S005-002|S061-001|J020-007|S045-006|S063-004|J050-004|S036-002|S030-001|S074-002|S036-004|S071-006|S045-002|S060-002|S044-001|S075-001|S032-001|J010-003|S015-001|J029-001|S048-002|S079-004|S023-003|S048-005|S061-004|J030-003|J024-001|S050-003|J073-003|J054-004|S012-003|J027-004|J020-001|J048-001|S004-001|J042-001|J037-003|S015-004|S075-004|J009-002|S071-002|S060-004|J029-002,2.4659,3.4659,28.8525,87.0,30.4196,72.0,47.0588,79.6296,30.4196,16.0,38.0,27.0,17.8423,18.4789,20.9617,0.0
smoke,beta0.25_gamma0.10,0.25,0.1,0,1001644,16,54,degree,J043-005|S005-001|J063-001|J043-006|S028-004|J008-004|S005-002|S080-002|J063-005|J008-001|J063-002|J033-007|S028-002|J023-006|S018-003|J008-006|S011-004|S080-003|S028-001|J063-003|S072-006|J044-006|J023-008|S011-005|S026-003|J075-003|S072-004|S005-003|S018-001|S026-001|J039-006|S061-005|S036-003|S028-005|J008-007|J043-003|S060-004|S036-004|J075-004|J039-003|J039-005|J008-005|J053-003|S026-009|J044-007|S018-004|J023-004|J033-008|S026-008|J053-001|S079-006|J033-002|J023-005|S061-003,2.5795,3.375,23.569,67.0,23.4266,41.0,26.7974,59.2593,23.4266,7.0,47.0,25.0,13.278,67.127,59.9365,0.0
smoke,beta0.25_gamma0.10,0.25,0.1,1,1011644,16,54,degree,J043-005|S005-001|J063-001|J043-006|S028-004|J008-004|S005-002|S080-002|J063-005|J008-001|J063-002|J033-007|S028-002|J023-006|S018-003|J008-006|S011-004|S080-003|S028-001|J063-003|S072-006|J044-006|J023-008|S011-005|S026-003|J075-003|S072-004|S005-003|S018-001|S026-001|J039-006|S061-005|S036-003|S028-005|J008-007|J043-003|S060-004|S036-004|J075-004|J039-003|J039-005|J008-005|J053-003|S026-009|J044-007|S018-004|J023-004|J033-008|S026-008|J053-001|S079-006|J033-002|J023-005|S061-003,2.6477,3.2727,19.0972,67.0,23.4266,41.0,26.7974,59.2593,23.4266,7.0,47.0,25.0,13.278,67.127,59.9365,0.0
smoke,beta0.25_gamma0.10,0.25,0.1,2,1021644,16,54,degree,J043-005|S005-001|J063-001|J043-006|S028-004|J008-004|S005-002|S080-002|J063-005|J008-001|J063-002|J033-007|S028-002|J023-006|S018-003|J008-006|S011-004|S080-003|S028-001|J063-003|S072-006|J044-006|J023-008|S011-005|S026-003|J075-003|S072-004|S005-003|S018-001|S026-001|J039-006|S061-005|S036-003|S028-005|J008-007|J043-003|S060-004|S036-004|J075-004|J039-003|J039-005|J008-005|J053-003|S026-009|J044-007|S018-004|J023-004|J033-008|S026-008|J053-001|S079-006|J033-002|J023-005|S061-003,2.8523,3.4659,17.7049,67.0,23.4266,41.0,26.7974,59.2593,23.4266,7.0,47.0,25.0,13.278,67.127,59.9365,0.0
smoke,beta0.25_gamma0.10,0.25,0.1,0,1001645,16,54,betweenness,S005-003|S080-001|J075-001|J063-004|S008-002|J030-004|S028-003|J023-001|S036-002|J029-003|S023-003|J041-004|S078-001|S061-001|S012-003|J021-002|S070-001|S004-002|J073-002|J054-001|S039-001|S009-003|S040-002|S064-004|S074-003|S052-003|J010-001|J047-003|S072-001|J043-004|S011-003|J033-001|S026-007|S007-008|S021-004|S071-001|S045-004|S073-004|S018-005|S057-002|S033-003|J057-003|S015-001|S063-004|J020-006|S048-002|J027-001|S067-004|J057-001|J070-001|S033-001|S049-003|J070-002|J050-003,2.2273,3.375,34.0067,87.0,30.4196,82.0,53.5948,74.0741,30.4196,17.0,37.0,23.0,16.5975,13.1024,13.7838,12.5
smoke,beta0.25_gamma0.10,0.25,0.1,1,1011645,16,54,betweenness,S005-003|S080-001|J075-001|J063-004|S008-002|J030-004|S028-003|J023-001|S036-002|J029-003|S023-003|J041-004|S078-001|S061-001|S012-003|J021-002|S070-001|S004-002|J073-002|J054-001|S039-001|S009-003|S040-002|S064-004|S074-003|S052-003|J010-001|J047-003|S072-001|J043-004|S011-003|J033-001|S026-007|S007-008|S021-004|S071-001|S045-004|S073-004|S018-005|S057-002|S033-003|J057-003|S015-001|S063-004|J020-006|S048-002|J027-001|S067-004|J057-001|J070-001|S033-001|S049-003|J070-002|J050-003,2.3295,3.2727,28.8194,87.0,30.4196,82.0,53.5948,74.0741,30.4196,17.0,37.0,23.0,16.5975,13.1024,13.7838,12.5
