profile,beta,gamma,strategy,budget_k_pct,budget_k_nodes,mean_infected_per_hh,reduction_vs_baseline_pct,prevention_rate_pct,transmission_coverage,precision_k_pct,n_runs,marginal_sir_reduction_gain_pct
smoke,0.25,0.1,gnn,13,44,2.322,31.1153,36.6013,25.5245,90.9091,3,6.6806
smoke,0.25,0.1,gnn,14,47,2.4091,28.4883,36.6013,26.9231,89.3617,3,-2.627
smoke,0.25,0.1,gnn,15,51,2.447,27.3349,39.8693,28.6713,88.2353,3,-1.1534
smoke,0.25,0.1,gnn,16,54,2.3561,30.0977,42.4837,30.7692,87.037,3,2.7628
smoke,0.25,0.1,gnn,17,57,2.3523,30.2028,43.7908,31.4685,85.9649,3,0.1051
smoke,0.25,0.1,gnn,18,61,2.3447,30.419,48.366,34.965,86.8852,3,0.2162
smoke,0.25,0.1,gnn,19,64,2.1439,36.3982,54.2484,38.1119,87.5,3,5.9792
smoke,0.25,0.1,gnn,20,68,2.1818,35.2782,54.2484,40.2098,86.7647,3,-1.1201
smoke,0.25,0.1,random,1,3,3.3636,0.1834,3.7037,1.9814,77.7778,3,0.1834
smoke,0.25,0.1,random,2,6,3.2197,4.4937,5.4466,2.9138,66.6667,3,4.3103
smoke,0.25,0.1,random,3,10,3.2917,2.2793,11.7647,6.7599,80.0,3,-2.2144
smoke,0.25,0.1,random,4,13,3.1591,6.199,16.5578,8.7413,76.9231,3,3.9197
smoke,0.25,0.1,random,5,17,3.1023,7.8637,15.9041,8.3916,68.6274,3,1.6647
smoke,0.25,0.1,random,6,20,3.053,9.3572,17.8649,10.1399,68.3333,3,1.4935
smoke,0.25,0.1,random,7,23,2.9811,11.5134,23.9652,13.0536,76.8116,3,2.1563
smoke,0.25,0.1,random,8,27,2.8447,15.6088,26.5795,16.6667,67.9013,3,4.0954
smoke,0.25,0.1,random,9,30,2.875,14.6822,30.0654,16.4336,66.6667,3,-0.9266
smoke,0.25,0.1,random,10,34,2.7841,17.4186,33.769,19.697,75.4902,3,2.7364
smoke,0.25,0.1,random,11,37,2.6742,20.6484,35.7298,20.979,73.8739,3,3.2298
smoke,0.25,0.1,random,12,40,2.6629,20.9627,33.7691,20.7459,67.5,3,0.3143
smoke,0.25,0.1,random,13,44,2.6061,22.6456,41.3943,24.1259,68.1818,3,1.6829
smoke,0.25,0.1,random,14,47,2.6553,21.1907,40.0872,24.0093,63.8298,3,-1.455
smoke,0.25,0.1,random,15,51,2.5758,23.5019,45.3159,28.9044,71.8955,3,2.3112
smoke,0.25,0.1,random,16,54,2.4849,26.2596,50.7625,31.5851,75.3086,3,2.7577
smoke,0.25,0.1,random,17,57,2.4773,26.4782,52.7233,32.8671,74.8538,3,0.2186
smoke,0.25,0.1,random,18,61,2.4129,28.3654,53.8126,35.5478,72.6776,3,1.8872
smoke,0.25,0.1,random,19,64,2.3523,30.1635,54.2483,32.7506,70.3125,3,1.7981
smoke,0.25,0.1,random,20,68,2.2235,33.9645,57.9521,38.9277,73.0392,3,3.8009
