profile,param_id,beta,gamma,strategy,budget_k_pct,budget_k_nodes,mean_infected_per_hh,std_infected_per_hh,p2_5_infected_per_hh,p97_5_infected_per_hh,mean_reduction_vs_baseline_pct,std_reduction_vs_baseline_pct,p2_5_reduction_vs_baseline_pct,p97_5_reduction_vs_baseline_pct,n_runs
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,1,3,3.178,0.2224,2.8869,3.3403,-1.6788,10.2407,-11.8539,11.3344,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,2,6,3.0871,0.0915,3.0125,3.2068,1.4633,3.8946,-1.4193,6.5629,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,3,10,2.8523,0.1163,2.7222,2.992,9.0623,0.9923,8.0521,10.3135,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,4,13,2.9735,0.0618,2.9114,3.0517,4.9799,5.6506,-2.1977,10.6018,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,5,17,2.8637,0.0804,2.7585,2.9205,8.491,5.6383,2.2072,15.2897,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,6,20,2.572,0.1107,2.4302,2.6784,17.8799,4.6719,12.4915,23.3616,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,7,23,2.5265,0.0596,2.4489,2.5784,19.3999,1.2117,18.0097,20.8283,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,8,27,2.4924,0.0658,2.4233,2.5744,20.4519,2.8197,16.9995,23.5184,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,9,30,2.5568,0.0649,2.4722,2.6125,18.4319,1.5113,17.195,20.4078,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,10,34,2.4242,0.0745,2.3346,2.5074,22.6832,0.6673,21.8177,23.2825,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,11,37,2.4735,0.0559,2.4119,2.5415,21.047,2.8642,17.4144,23.9111,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,12,40,2.322,0.0911,2.2029,2.3864,25.9655,0.8957,24.8114,26.8046,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,13,44,2.4015,0.0567,2.3432,2.4728,23.2627,4.5822,17.2625,26.7961,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,14,47,2.2727,0.0793,2.1858,2.3693,27.3579,5.0454,20.7507,31.1568,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,15,51,2.2651,0.0298,2.2392,2.304,27.6755,2.8464,24.5681,31.153,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,16,54,2.2538,0.0438,2.1972,2.2944,28.0827,1.6596,26.399,30.1778,3
